Player,Pos,Age,Team,Games,Gms_started,MinPerG,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,Intercept,mvp score
Jaren Jackson Jr.\jacksja02,PF,22,MEM,26,26,27.3,5.7,13.2,0.43,2.2,6.2,0.358,3.5,7,0.495,0.515,2.9,3.5,0.833,1.1,4.4,5.5,1,0.9,1.9,1.5,3.4,16.5,17.9,0.559,0.471,0.262,4.3,17.5,10.8,5.4,1.6,6.5,9.4,25.1,0.9,0.8,1.7,0.117,0.3,-0.8,-0.5,0.3,1,
Josh Jackson\jacksjo02,SF,24,DET,23,3,18.1,2.4,6,0.406,0.8,2.7,0.29,1.7,3.3,0.5,0.471,1,1.4,0.697,0.5,2.7,3.1,1.6,0.4,0.4,1,1.8,6.7,10.2,0.502,0.449,0.239,2.7,17.2,9.4,14.2,1.2,2.2,13.1,18.1,-0.1,0.3,0.2,0.025,-3.2,-0.9,-4,-0.2,1,
Reggie Jackson\jacksre01,SG,31,LAC,27,27,33.4,6.7,17,0.395,2.7,8.4,0.327,4,8.6,0.461,0.476,1.4,1.7,0.787,0.6,2.9,3.5,4,0.6,0.1,2.1,1.9,17.5,12,0.494,0.493,0.103,2,8.9,5.5,19.7,0.9,0.4,10.6,25.9,-0.2,0.8,0.6,0.033,-1.1,-1.9,-3,-0.2,1,
Ty Jerome\jeromty01,SG,24,OKC,21,1,13.7,2.3,5.8,0.397,1,3.3,0.29,1.3,2.5,0.538,0.479,1.1,1.4,0.828,0.3,0.8,1.1,1.1,0.7,0.1,0.6,1.2,6.7,13.5,0.523,0.57,0.24,2.1,6.1,4.1,14.2,2.4,0.7,8.2,21.9,0.2,0.2,0.4,0.064,-1.6,-0.2,-1.8,0,1,
Cameron Johnson\johnsca02,PF,25,PHO,25,0,23.6,3.4,8,0.425,2,5,0.408,1.4,3,0.453,0.553,0.9,1.2,0.742,0.3,3.1,3.4,1.3,0.8,0.3,0.7,1.4,9.8,12.5,0.571,0.625,0.155,1.5,13.4,7.6,7.4,1.5,1,7.8,17,0.5,0.8,1.4,0.113,0,0.2,0.2,0.3,1,
Keldon Johnson\johnske04,SF,22,SAS,25,25,30.6,5.5,11.8,0.469,1.3,2.9,0.444,4.2,8.9,0.477,0.524,2.2,3.3,0.651,1.1,5.1,6.2,1.8,0.9,0.2,1.3,1.7,14.5,14.1,0.548,0.245,0.282,3.7,17.7,10.7,8.4,1.4,0.5,9.1,20.3,0.6,0.7,1.3,0.082,-0.9,-1.3,-2.2,0,1,
Nikola Jokić\jokicni01,C,26,DEN,21,21,32.9,10.5,18,0.582,1.7,4.6,0.371,8.8,13.4,0.655,0.63,3.8,5.1,0.748,2.4,11.1,13.5,7.2,1.2,0.8,3.4,2.6,26.5,33.9,0.654,0.257,0.283,8.2,37.5,22.9,42.5,1.8,2.1,14.3,32.2,3.2,1.2,4.4,0.304,9.6,4.6,14.1,2.8,1,
Derrick Jones Jr.\jonesde02,PF,24,CHI,22,2,18.5,2.6,4.5,0.586,0.4,1.1,0.32,2.3,3.4,0.676,0.626,1.4,1.6,0.833,1.4,2.1,3.5,0.5,0.5,1,0.5,2.4,7,16.7,0.67,0.253,0.364,8.1,12.7,10.4,4.2,1.4,4.6,9.5,13.7,1,0.5,1.6,0.186,0,1,1,0.3,1,
Herb Jones\joneshe01,C,23,NOP,26,17,26.9,2.8,6.1,0.462,0.4,1,0.37,2.4,5,0.481,0.494,0.9,1.2,0.767,1.2,2.2,3.3,1.8,1.4,0.9,1.2,2.9,6.9,10.3,0.523,0.171,0.19,4.5,8.9,6.6,9.4,2.6,3.1,14.9,12.3,0.2,0.6,0.8,0.053,-3.5,0.9,-2.6,-0.1,1,
Tre Jones\jonestr01,PG,22,SAS,24,0,11.1,1.8,3.5,0.5,0,0.3,0.143,1.7,3.2,0.532,0.506,0.5,0.5,1,0.3,1.3,1.6,1.8,0.4,0,0.6,0.8,4.1,13.8,0.546,0.083,0.155,3.1,11.9,7.5,21.9,1.6,0,13.5,16.6,0.3,0.2,0.5,0.096,-2.3,-0.3,-2.6,0,1,
Tyus Jones\jonesty01,PG,25,MEM,27,8,20.3,2.8,6.2,0.449,1,2.4,0.406,1.8,3.8,0.476,0.527,0.8,0.9,0.913,0.2,2.4,2.6,4.3,1,0.1,0.8,0.4,7.3,16.9,0.556,0.383,0.138,1.2,13,7,29,2.3,0.3,10.6,15.2,1.3,0.4,1.6,0.142,1.2,-0.3,0.9,0.4,1,
DeAndre Jordan\jordade01,C,33,LAL,22,16,13.5,2.2,3.2,0.686,0,0,,2.2,3.2,0.686,0.686,0.3,0.5,0.583,1.5,4.4,5.9,0.4,0.4,0.9,0.8,1.8,4.7,18.4,0.684,0,0.171,12.4,33.2,23.1,3.9,1.3,6.1,19.3,13.4,0.5,0.6,1.1,0.176,-1.5,0.3,-1.2,0.1,1,
Cory Joseph\josepco01,PG,30,DET,24,4,21,2.1,4.9,0.424,0.5,1.7,0.3,1.6,3.3,0.487,0.475,1.5,1.8,0.837,0.3,1.5,1.8,3.5,0.8,0.2,1.5,1.5,6.2,11,0.54,0.339,0.364,1.4,8.6,4.7,25.6,1.9,0.9,20.4,14.7,0.2,0.3,0.5,0.051,-3.3,-0.1,-3.4,-0.2,1,
Luke Kennard\kennalu01,SG,25,LAC,27,2,28.3,4,9,0.439,2.7,6.1,0.451,1.2,3,0.413,0.59,0.6,0.6,0.941,0.2,3.1,3.3,1.9,0.8,0.1,0.8,1.4,11.3,12.6,0.604,0.672,0.07,0.8,11.4,6.2,9.9,1.3,0.2,7.7,15.5,1.1,0.8,1.9,0.121,0.2,0.1,0.2,0.4,1,
Corey Kispert\kispeco01,SF,22,WAS,24,0,12.5,1.4,3.4,0.42,0.5,2,0.265,0.9,1.3,0.656,0.5,0.5,0.6,0.786,0.4,1.4,1.8,0.5,0.2,0.1,0.4,0.5,3.8,9.5,0.528,0.605,0.173,3.7,11.5,7.8,5.7,0.8,0.8,9.4,14.3,0.1,0.2,0.3,0.046,-1.4,-1.3,-2.7,0,1,
John Konchar\konchjo01,SG,25,MEM,25,0,15.4,1.6,3,0.533,0.5,1.2,0.414,1.1,1.8,0.609,0.613,0.3,0.6,0.5,1,2.6,3.6,1.3,0.8,0.2,0.5,1.1,4,14.1,0.61,0.387,0.187,6.6,18.7,12.5,11.3,2.5,1.2,13.8,10.3,0.6,0.4,1,0.123,-0.4,0.7,0.3,0.2,1,
Furkan Korkmaz\korkmfu01,SG,24,PHI,26,5,21.8,3,8.1,0.37,1.5,4.8,0.302,1.5,3.3,0.471,0.46,0.9,1.1,0.821,0.3,2.5,2.7,2.4,0.7,0.1,0.9,0.8,8.3,11.2,0.486,0.597,0.133,1.4,12.3,6.9,16.3,1.5,0.5,9.7,19.7,0,0.4,0.3,0.028,-0.9,-2.3,-3.2,-0.2,1,
Kyle Kuzma\kuzmaky01,PF,26,WAS,26,26,32.8,4.9,11.6,0.425,2.1,5.8,0.355,2.8,5.7,0.497,0.515,1.5,2.2,0.679,1,7.4,8.3,2.9,0.6,0.7,2,2.1,13.4,13,0.534,0.505,0.186,3.3,23.6,13.8,13.3,0.9,1.7,14,19.9,0.1,0.9,1,0.058,-0.4,0,-0.4,0.3,1,
Jeremy Lamb\lambje01,SF,29,IND,21,0,13.8,2.1,5.5,0.379,1.1,3,0.371,1,2.6,0.389,0.478,1.5,1.5,1,0.3,2.2,2.5,1.1,0.5,0.3,0.6,1.1,6.8,16,0.55,0.534,0.276,2.7,17.2,10.1,12,1.7,2.1,8.4,21.5,0.5,0.3,0.8,0.135,1.5,0,1.6,0.3,1,
